id,Kanji,Strokes,Grade,"Kanji Classification",JLPT-test,"Name of Radical","Reading within Joyo","Reading beyond Joyo","# of On","On within Joyo","Kanji ID in Nelson","# of Meanings of On","Translation of On","# of Kun within Joyo with inflections","# of Kun within Joyo without inflections","Kun within Joyo","# of Meanings of Kun","Translation of Kun","Year of Inclusion"
1620,廃,12,7,"形声 Phonetic",1,Madare,ハイ、すた-れる、すた-る,,1,hai,1630,3,"obsolescence; cessation; discarding",2,1,"suta(reru), suta(ru)",5,"become useless, get out of date, die out; be abolished; decline (in prosperity) ",1981
1621,輩,15,7,"形声 Phonetic",1,"Kuruma, Kurumahen",ハイ,ともがら,1,hai,5971,4,"fellow, people, companion; line",0,0,-,0,-,1981
1622,売,7,2,"会意 Com. Ideographic",3,Samurai,バイ、う-る、う-れる,マイ、メ,1,bai,990,1,selling,2,1,"u(ru), u(reru)",10,"sell, deal in, betray, deceive, impose on, tell on, pick (a quarrel). be in demand, enjoy a large sale; be well known ",1981
1623,倍,10,3,"形声 Phonetic",2,"Hito, Ninben, Hitoyane",バイ,ベ,1,bai,252,4,"double, twice; times, -fold",0,0,-,0,-,1981
1624,梅,10,4,"形声 Phonetic",1,"Ki, Kihen",バイ、うめ,メ,1,bai,2666,2,"plum, plum tree",1,1,ume,2,"plum, plum tree",1981
1625,培,11,7,"形声 Phonetic",1,"Tsuchi, Tsuchihen",バイ、つちか-う,,1,bai,1032,2,"cultivate, foster",1,1,tsuchika(u),2,"cultivate, foster",1981
1626,陪,11,7,"形声 Phonetic",1,Kozatohen,バイ,,1,bai,6458,3,"follow, accompany, attend on",0,0,-,0,-,1981
1627,媒,12,7,"形声 Phonetic",1,"Onna, Onnahen",バイ,なかだち、なこうど,1,bai,1247,1,go-between,0,0,-,0,-,1981
1628,買,12,2,"会意 Com. Ideographic",3,"Kai, Kaihen",バイ、か-う,,1,bai,5793,1,buying,1,1,ka(u),5,"buy, invest in; incur; appreciate; call in (geisha) ",1981
1629,賠,15,7,"形声 Phonetic",1,"Kai, Kaihen",バイ,,1,bai,5810,1,indemnify,0,0,-,0,-,1981
1630,白,5,1,"象形 Pictographic",4,Shiro,ハク、ビャク、しろ、[しら]、しろ-い,,2,"haku, 	byaku",3863,1,white,3,2,"shiro, [shira], shiro(i)",7,"white, fair (skin); gray (hair); blank (paper); spotless; innocent. feigned ignorance ",1981
1631,伯,7,7,"形声 Phonetic",1,"Hito, Ninben, Hitoyane",ハク,,1,haku,158,5,"count; earl; eldest brother; uncle; chief official",0,0,-,0,-,1981
1632,拍,8,7,"形声 Phonetic",1,Tehen,ハク、[ヒョウ],,2,"haku, [hyoo]",2114,1,"beat (in music)",0,0,-,0,-,1981
1633,泊,8,7,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",ハク、と-まる、と-める,,1,haku,3099,1,"(three-day) stay",2,1,"to(maru), to(meru)",4,"stay at, put up at; ride at anchor. lodge a person ",1981
1634,迫,8,7,"形声 Phonetic",1,Shinnyoo,ハク、せま-る,,1,haku,6031,9,"press for, urge, force, spur on; approach; gain on, close in on; be on the verge of; be imminent ",1,1,sema(ru),9,"press for, urge, force, spur on; approach; gain on, close in on; be on the verge of; be imminent ",1981
1635,剥,10,7,"会意 Com. Ideographic",-,"Katana, Rittoo",ハク、は-がす、は-ぐ、は-がれる、は-げる,む,1,haku,495,5,"come off, peel off, be worn off; fade, discolor",4,1,"ha(gasu), ha(gu), ha(gareru), ha(geru)",11,"come off, peel off, be worn off; fade, discolor; rip off, strip off; skin, flay; disrobe; deprive of",2010
1636,舶,11,7,"形声 Phonetic",1,"Fune, Funehen",ハク,,1,haku,4936,1,ship,0,0,-,0,-,1981
1637,博,12,4,"形声 Phonetic",1,Juu,ハク、[バク],ひろ,2,"haku, [baku]",621,9,"command esteem, win acclaim; gain, receive. doctor, PhD; exposition, fair, exhibition",0,0,-,0,-,1981
1638,薄,16,7,"形声 Phonetic",2,Kusakanmuri,ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-れる,すすき,1,haku,5225,7,"thin, weak (tea), light, pale, faint, scanty, ungenerous ",5,1,"usu(i), usu(meru), usu(maru), usu(ragu), usu(reru)",18,"thin, weak (tea), light, pale, faint, scanty, ungenerous. dilute, weaken. thin out, fade, grow pale, be toned down, get dim, cool (emotions), abate, lessen, decline ",1981
1639,麦,7,2,"会意 Com. Ideographic",2,Mugi,バク、むぎ,,1,baku,7030,4,"wheat, barley, oats, rye",1,1,mugi,4,"wheat, barley, oats, rye",1981
1640,漠,13,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",バク,ひろ,1,baku,3268,4,"vague, obscure; deserd; wide",0,0,-,0,-,1981
1641,縛,16,7,"形声 Phonetic",1,"Ito, Itohen",バク、しば-る,,1,baku,4567,2,"arrest, binding",1,1,shiba(ru),9,"bind, tie, fasten, truss, fetter, restrain, chain; arrest, catch ",1981
1642,爆,19,7,"形声 Phonetic",2,"Hi, Hihen, Renga",バク,,1,baku,3505,3,"burst open, pop, split",0,0,-,0,-,1981
1643,箱,15,3,"形声 Phonetic",2,"Take, Takekanmuri",はこ,,0,-,4331,0,-,1,1,hako,6,"box, case, chest, bin, coffer, railway car ",1981
1644,箸,15,7,"形声 Phonetic",1,"Take, Takekanmuri",はし,,0,-,4328,0,-,1,1,hashi,1,chopsticks,2010
1645,畑,9,3,"国字 Original",2,"Ta, Tahen",はた、はたけ,,0,-,3741,0,-,2,2,"hata, hatake",5,"field, farm, plantation, garden; one's specialty",1981
1646,肌,6,7,"形声 Phonetic",2,"Niku, Nikuzuki",はだ,キ,0,-,4755,0,-,1,1,hada,5,"skin, body; grain, texture; disposition",1981
1647,八,2,1,"指事 Ideographic",4,Hachi,ハチ、や、や-つ、やっ-つ、[よう],ハツ,1,hachi,369,1,eight,4,3,"ya, ya(tsu), yat(tsu), [yoo]",1,eight,1981
1648,鉢,13,7,"形声 Phonetic",1,"Kane, Kanehen",ハチ、[ハツ],,2,"[hatsu], 	hachi",6249,5,"bowl, rice tub, pot; crown, brainpan",0,0,-,0,-,1981
1649,発,9,3,"会意 Com. Ideographic",3,Hatsugashira,ハツ、ホツ,,2,"hatsu, 	hotsu",3860,2,"departure; discharge (of a gun)",0,0,-,0,-,1981
1650,髪,14,7,"形声 Phonetic",2,Kamigashira,ハツ、かみ,,1,hatsu,6804,1,"the hair",1,1,kami,1,"the hair",1981
1651,伐,6,7,"会意 Com. Ideographic",1,"Hito, Ninben, Hitoyane",バツ,き、う,1,batsu,132,3,"strike, attack; punish",0,0,-,0,-,1981
1652,抜,7,7,"形声 Phonetic",2,Tehen,バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる,,1,batsu,2093,12,"extract, unlock, pull out; root up; unsheathe; pilfer; quote; remove; omit; capture; outrun; shoot through",4,1,"nu(ku), nu(keru), nu(kasu), nu(karu)",27,"extract, unlock, pull out; root up; unsheathe; pilfer; quote; remove; omit; capture; outrun; shoot through. come off, fall out, slip out; be omitted; be missing; be rid of; pass through; escape; be captured; withdraw; be less than. skip over. be careless; slip, make a mistake ",1981
1653,罰,14,7,"会意 Com. Ideographic",1,Amigashira,バツ、バチ,,2,"batsu, 	bachi",4647,2,"punishment, penalty",0,0,-,0,-,1981
1654,閥,14,7,"形声 Phonetic",1,Mongamae,バツ,,1,batsu,6398,5,"lineage, pedigree; clique, faction, clan",0,0,-,0,-,1981
1655,反,4,3,"会意 Com. Ideographic",2,Mata,ハン、[ホン]、[タン]、そ-る、そ-らす,,3,"han, [hon], [tan]",674,7,"antithesis, opposite, antagonism; anti-. roll of cloth (c. 10yds.); .245 acres, 300 tsubo",2,1,"so(ru), so(rasu)",5,"warp; curve; lean backward. bend, warp ",1981
1656,半,5,2,"象形 Pictographic",4,Juu,ハン、なか-ば,,1,han,608,5,"half; odd number; semi-, hemi-, demi-",1,1,naka(ba),5,"half, semi-, middle, halfway; partly",1981
1657,氾,5,7,"形声 Phonetic",-,"Mizu, Sanzui, Shitamizu",ハン,,1,han,3033,2,"spread out; wide",0,0,-,0,-,2010
1658,犯,5,5,"形声 Phonetic",2,"Inu, Kemonohen",ハン、おか-す,ボン,1,han,3554,3,"offense, crime; counter for criminal offenses ",1,1,oka(su),10,"commit, sin against; violate, break; defy, disregard; attack, assault; seduce, rape",1981
1659,帆,6,7,"形声 Phonetic",1,"Haba, Kinben",ハン、ほ,,1,han,1551,1,sail,1,1,ho,1,sail,1981
1660,汎,6,7,"形声 Phonetic",-,"Mizu, Sanzui, Shitamizu",ハン,,1,han,3043,1,pan-,0,0,-,0,-,2010
1661,伴,7,7,"形声 Phonetic",1,"Hito, Ninben, Hitoyane",ハン、バン、ともな-う,とも,2,"han, 	ban",157,4,"accompany, bring with; be accompanied by; be involved in ",1,1,tomona(u),4,"accompany, bring with; be accompanied by; be involved in ",1981
1662,判,7,5,"形声 Phonetic",2,"Katana, Rittoo",ハン、バン,わか,2,"han, 	ban",465,4,"stamp, seal; a monogram signature; judgment",0,0,-,0,-,1981
1663,坂,7,3,"形声 Phonetic",2,"Tsuchi, Tsuchihen",ハン、さか,,1,han,985,3,"incline, slope, hill",1,1,saka,3,"incline, slope, hill",1981
1664,阪,7,7,"形声 Phonetic",-,Kozatohen,ハン,さか、ざか,1,han,6428,1,slope,0,0,-,0,-,2010
1665,板,8,3,"形声 Phonetic",2,"Ki, Kihen",ハン、バン、いた,,2,"han, 	ban",2595,6,"board, plank; planking; plate, sheet; the stage",1,1,ita,6,"board, plank; planking; plate, sheet; the stage",1981
1666,版,8,5,"形声 Phonetic",2,Katahen,ハン,,1,han,3526,6,"printing block or plate; printing; edition, impression; board; label",0,0,-,0,-,1981
1667,班,10,6,"会意 Com. Ideographic",1,"Tama, Oo",ハン,,1,han,3636,7,"corps, unite, squad; party, companions, group; order",0,0,-,0,-,1981
1668,畔,10,7,"形声 Phonetic",1,"Ta, Tahen",ハン,ほとり、あぜ、くろ、ぐろ,1,han,3746,2,"rice-paddy ridge, levee",0,0,-,0,-,1981
1669,般,10,7,"会意 Com. Ideographic",2,"Fune, Funehen",ハン,,1,han,4931,2,"carry; all",0,0,-,0,-,1981
1670,販,11,7,"形声 Phonetic",2,"Kai, Kaihen",ハン,,1,han,5779,2,"sell, trade",0,0,-,0,-,1981
1671,斑,12,7,"会意 Com. Ideographic",-,Bun,ハン,まだら、ふ,1,han,2371,1,spot,0,0,-,0,-,2010
1672,飯,12,4,"形声 Phonetic",3,"Shoku, Shokuhen",ハン、めし,いい,1,han,6679,3,"cooked rice; meal; food",1,1,meshi,4,"cooked rice; meal; food, livelihood",1981
1673,搬,13,7,"形声 Phonetic",1,Tehen,ハン,,1,han,2249,2,"carry, transport",0,0,-,0,-,1981
1674,煩,13,7,"会意 Com. Ideographic",1,"Hi, Hihen, Renga",ハン、[ボン]、わずら-う、わずら-わす,,2,"han, [bon]",3454,2,"worry, trouble",2,1,"wazura(u), wazura(wasu)",9,"be ill; worry, be afflicted, be in pain, be troubled. trouble, keep (someone) busy, disturb, annoy ",1981
1675,頒,13,7,"形声 Phonetic",1,Oogai,ハン,,1,han,6621,4,"divide, separate; share with; distinguish between",0,0,-,0,-,1981
1676,範,15,7,"形声 Phonetic",1,"Take, Takekanmuri",ハン,のり,1,han,4330,4,"example, model, pattern; limit",0,0,-,0,-,1981
1677,繁,16,7,"会意 Com. Ideographic",1,"Ito, Itohen",ハン,しげ,1,han,4570,3,"frequency, complexity, trouble ",0,0,-,0,-,1981
1678,藩,18,7,"形声 Phonetic",1,Kusakanmuri,ハン,,1,han,5242,2,"feudal clan; enclosure",0,0,-,0,-,1981
1679,晩,12,6,"形声 Phonetic",2,"Nichi, Nichihen",バン,,1,ban,2491,4,"evening, night; the end of all things; late",0,0,-,0,-,1981
1680,番,12,2,"象形 Pictographic",2,"Ta, Tahen",バン,つが,1,ban,3762,10,"watch, guard; duty; number; order; size, game, round, turn, bout",0,0,-,0,-,1981
1681,蛮,12,7,"形声 Phonetic",1,"Mushi, Mushihen",バン,,1,ban,5314,1,barbarian,0,0,-,0,-,1981
1682,盤,15,7,"形声 Phonetic",1,Sara,バン,ハン,1,ban,3902,6,"shallow bowl, platter, tray, tub; board; phonograph record",0,0,-,0,-,1981
1683,比,4,5,"会意 Com. Ideographic",2,Kuraberu,ヒ、くら-べる,,1,hi,3010,4,"ratio; comparison; an equal, a match ",1,1,kura(beru),3,"compare, balance, contrast",1981
1684,皮,5,3,"象形 Pictographic",2,Kegawa,ヒ、かわ,,1,hi,3878,11,"skin; hide; leather; fur, pelt; bark; peeling, husk, shell; film, cream ",1,1,kawa,11,"skin; hide; leather; fur, pelt; bark; peeling, husk, shell; film, cream ",1981
1685,妃,6,7,"会意 Com. Ideographic",1,"Onna, Onnahen",ヒ,,1,hi,1176,2,"queen, princess",0,0,-,0,-,1981
1686,否,7,6,"会意 Com. Ideographic",2,"Kuchi, Kuchihen",ヒ、いな,,1,hi,742,2,"no, noes",1,1,ina,2,"no, nay",1981
1687,批,7,6,"形声 Phonetic",1,Tehen,ヒ,,1,hi,2086,1,strike,0,0,-,0,-,1981
1688,彼,8,7,"仮借 Loan",2,Gyooninben,ヒ、かれ、[かの],か,1,hi,1732,2,"he; that",2,2,"kare, [kano]",3,"he. that, the ",1981
1689,披,8,7,"形声 Phonetic",1,Tehen,ヒ,,1,hi,2116,1,open,0,0,-,0,-,1981
1690,肥,8,5,"会意 Com. Ideographic",1,"Niku, Nikuzuki",ヒ、こ-える、こえ、こ-やす、こ-やし,,1,hi,4774,2,"get fat; get fertile",4,2,"ko(eru), koe,ko(yasu), ko(yashi)",10,"get fat; get fertile. fertilize, enrich; fatten; feather one's nest; pamper one's taste. manure, fertilizer. night soil ",1981
1691,非,8,5,"象形 Pictographic",2,Arazu,ヒ,,1,hi,6563,7,"mistake; misdeed; injustice; wrong; non-, un-, anti-",0,0,-,0,-,1981
1692,卑,9,7,"会意 Com. Ideographic",1,Juu,ヒ、いや-しい、いや-しむ、いや-しめる,,1,hi,618,6,"humble; base, mean, vile, vulgar; greedy ",3,1,"iya(shii), iya(shimu), iya(shimeru)",7,"humble; base, mean, vile, vulgar; greedy. despise ",1981
1693,飛,9,4,"象形 Pictographic",2,Tobu,ヒ、と-ぶ、と-ばす,,1,hi,6672,2,"fly; skip (pages)",2,1,"to(bu), to(basu)",12,"fly; skip (pages). fly (a kite); let fly; blow away; scatter; splash; drive fast; skip over, omit; issue, send out ",1981
1694,疲,10,7,"形声 Phonetic",2,Yamaidare,ヒ、つか-れる,,1,hi,3796,2,"get tired, grow weary ",1,1,tsuka(reru),2,"get tired, grow weary ",1981
1695,秘,10,6,"形声 Phonetic",1,"Nogi, Nogihen",ヒ、ひ-める,,1,hi,4140,1,secret,1,1,hi(meru),2,"conceal, keep a secret",1981
1696,被,10,7,"形声 Phonetic",2,"Koromo, Koromohen",ヒ、こうむ-る,かず、かぶ,1,hi,5445,1,receiving,1,1,koomu(ru),4,"get, receive, sustain (an injury), be subjected to (criticism)",1981
1697,悲,12,3,"形声 Phonetic",2,"Kokoro, Risshinben, Shitagokoro",ヒ、かな-しい、かな-しむ,,1,hi,1897,5,"grieve, be sad, deplore, mourn for, regret ",2,1,"kana(shii), kana(shimu)",8,"grieve, be sad, deplore, mourn for, regret. sad, pathetic, plaintive ",1981
1698,扉,12,7,"形声 Phonetic",1,"To, Tokanmuri",ヒ、とびら,,1,hi,2058,3,"door; title page, front page",1,1,tobira,3,"door; title page, front page",1981
1699,費,12,4,"形声 Phonetic",2,"Kai, Kaihen",ヒ、つい-やす、つい-える,,1,hi,5786,2,"expenses, cost",2,1,"tsui(yasu), tsui(eru)",5,"spend, consume, waste. become less; be wasted ",1981
1700,碑,14,7,"形声 Phonetic",1,"Ishi, Ishihen",ヒ,いしぶみ,1,hi,4028,2,"monument, tombstone",0,0,-,0,-,1981
1701,罷,15,7,"会意 Com. Ideographic",1,Amigashira,ヒ,まか、や,1,hi,4650,11,"end, stop, cease; subside, calm down, pass; die out, be extinguished; leave, go off; be abandoned ",0,0,-,0,-,1981
1702,避,16,7,"形声 Phonetic",1,Shinnyoo,ヒ、さ-ける,,1,hi,6120,8,"avoid, avert, ward off, keep aloof from, stay away from; evade, shirk, shun ",1,1,sa(keru),8,"avoid, avert, ward off, keep aloof from, stay away from; evade, shirk, shun ",1981
1703,尾,7,7,"象形 Pictographic",1,Shikabane,ビ、お,ミ,1,bi,1411,3,"tail; end; counter for fish",1,1,o,3,"tail; trail (of a meteor); lower slope (of a mountain)",1981
1704,眉,9,7,"象形 Pictographic",1,"Me, Mehen",ビ、[ミ]、まゆ,,2,"bi, [mi]",3917,1,eyebrow,1,1,mayu,1,eyebrow,2010
1705,美,9,3,"象形 Pictographic",2,Hitsuji,ビ、うつく-しい,ミ、うま、よ,1,bi,4660,3,"beauty, grace, charm",1,1,utsuku(shii),8,"beautiful, lovely, fine, good-looking; picturesque; sweet (voice), noble, pure",1981
1706,備,12,5,"形声 Phonetic",2,"Hito, Ninben, Hitoyane",ビ、そな-える、そな-わる,つぶさ,1,bi,284,5,"be furnished with, be endowed with, possess; be among, be one of ",2,1,"sona(eru), sona(waru)",15,"be furnished with, be endowed with, possess; be among, be one of. furnish, provide, equip, install; have ready; prepare; possess, have; be endowed with; be armed with  ",1981
1707,微,13,7,"形声 Phonetic",1,Gyooninben,ビ,ミ、かす,1,bi,1765,4,"minuteness; insignificance; vagueness; fewness",0,0,-,0,-,1981
1708,鼻,14,3,"形声 Phonetic",2,Hana,ビ、はな,,1,bi,7082,1,nasal,1,1,hana,3,"nose; snout, muzzle",1981
1709,膝,15,7,"形声 Phonetic",1,"Niku, Nikuzuki",ひざ,シツ、シッ,0,-,4868,0,-,1,1,hiza,2,"knee; lap",2010
1710,肘,7,7,"形声 Phonetic",1,"Niku, Nikuzuki",ひじ,チュウ,0,-,4761,0,-,1,1,hiji,2,"elbow; arm (of something)",2010
1711,匹,4,7,"象形 Pictographic",2,Kakushigamae,ヒツ、ひき,ピキ,1,hitsu,584,3,"head, counter (small animals); roll of cloth ",1,1,hiki,3,"head, counter (small animals); roll of cloth ",1981
1712,必,5,4,"象形 Pictographic",2,"Kokoro, Risshinben, Shitagokoro",ヒツ、かなら-ず,,1,hitsu,1781,1,certainly,1,1,kanara(zu),3,"certainly, positively, invariably",1981
1713,泌,8,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",ヒツ、ヒ,,2,"hitsu, 	hi",3092,4,"flow; soak in; penetrate; secrete",0,0,-,0,-,1981
1714,筆,12,3,"会意 Com. Ideographic",2,"Take, Takekanmuri",ヒツ、ふで,,1,hitsu,4288,9,"writing brush, paintbrush; writing, drawing, painting; the pen; handwriting, penmanship; literary work ",1,1,fude,9,"writing brush, paintbrush; writing, drawing, painting; the pen; handwriting, penmanship; literary work ",1981
1715,姫,10,7,"会意 Com. Ideographic",1,"Onna, Onnahen",ひめ,キ,0,-,1217,0,-,1,1,hime,4,"princess; young lady of birth. little, pretty",1981
1716,百,6,1,"指事 Ideographic",4,Shiro,ヒャク,もも,1,hyaku,3864,3,"hundred; a great number; all",0,0,-,0,-,1981
1717,氷,5,3,"象形 Pictographic",2,"Mizu, Sanzui, Shitamizu",ヒョウ、こおり、ひ,こお,1,hyoo,3032,3,"freeze; be frozen over; congeal",2,2,"koori, hi",3,"ice; shaved ice. hail",1981
1718,表,8,3,"会意 Com. Ideographic",2,"Koromo, Koromohen",ヒョウ、おもて、あらわ-す、あらわ-れる,,1,hyoo,5422,5,"table, schedule, diagram, chart, list ",3,2,"omote, arawa(su), arawa(reru)",21,"express, show, manifest. appear, emerge, come in sight, show up; be revealed, be discovered, be mentioned; become famous. surface, right side, face; exterior, outside; front; the street; mat covers; head (of a coin); first half (of an inning) ",1981
1719,俵,10,5,"形声 Phonetic",1,"Hito, Ninben, Hitoyane",ヒョウ、たわら,,1,hyoo,243,4,"bag, bale, sack; bag counter",1,1,tawara,4,"bag, bale, sack; bag counter",1981
1720,票,11,4,"会意 Com. Ideographic",1,"Shimesu, Shimesuhen",ヒョウ,,1,hyoo,4089,4,"label; ballot; ticket; sign",0,0,-,0,-,1981
1721,評,12,5,"形声 Phonetic",1,"Gon, Gonben",ヒョウ,,1,hyoo,5587,2,"criticism, comment ",0,0,-,0,-,1981
1722,漂,14,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",ヒョウ、ただよ-う,,1,hyoo,3303,1,"float (on the water)",1,1,tadayo(u),1,"float (on the water)",1981
1723,標,15,4,"形声 Phonetic",1,"Ki, Kihen",ヒョウ,,1,hyoo,2852,4,"signpost; mark; target; designate",0,0,-,0,-,1981
1724,苗,8,7,"会意 Com. Ideographic",1,Kusakanmuri,ビョウ、なえ、[なわ],ミョウ,1,byoo,5004,3,"seedling, sapling, shoot",2,2,"nae, [nawa]",3,"seedling, sapling, shoot",1981
1725,秒,9,3,"会意 Com. Ideographic",2,"Nogi, Nogihen",ビョウ,,1,byoo,4129,1,"one-sixtieth og a minute (of time, latitude, degree, etc.)",0,0,-,0,-,1981
1726,病,10,3,"形声 Phonetic",3,Yamaidare,ビョウ、[ヘイ]、や-む、やまい,うれ,2,"byoo, [hei]",3798,3,"get sick, be sick, suffer from ",2,2,"ya(mu), yamai",7,"get sick, be sick, suffer from. illness; bad habit; weakness; passion ",1981
1727,描,11,7,"形声 Phonetic",1,Tehen,ビョウ、えが-く、か-く,,1,byoo,2196,4,"write, compose; draw, paint ",2,2,"ega(ku), ka(ku)",6,"write, compose; draw, paint. sketch, describe ",1981
1728,猫,11,7,"形声 Phonetic",2,"Inu, Kemonohen",ビョウ、ねこ,ミョウ,1,byoo,3586,1,cat,1,1,neko,1,cat,1981
1729,品,9,3,"会意 Com. Ideographic",3,"Kuchi, Kuchihen",ヒン、しな,ホン、ポン、ボン,1,hin,792,3,"refinement, dignity; article ",1,1,shina,10,"article, goods, thing; quality; brand; kind, type; ways, conditions; character ",1981
1730,浜,10,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",ヒン、はま,,1,hin,3152,3,"beach, seashore; fishing village",1,1,hama,3,"beach, seashore; fishing village",1981
1731,貧,11,5,"会意 Com. Ideographic",2,"Kai, Kaihen",ヒン、ビン、まず-しい,,2,"hin, 	bin",5782,1,poverty,1,1,mazu(shii),3,"poor, destitute; meager",1981
1732,賓,15,7,"会意 Com. Ideographic",1,"Kai, Kaihen",ヒン,まろうど,1,hin,1365,1,guest,0,0,-,0,-,1981
1733,頻,17,7,"会意 Com. Ideographic",1,Oogai,ヒン,しき,1,hin,6641,2,"repeat, occur repeatedly",0,0,-,0,-,1981
1734,敏,10,7,"会意 Com. Ideographic",1,Nobun,ビン,さと、と、ざと,1,bin,2337,2,"agility; alertness",0,0,-,0,-,1981
1735,瓶,11,7,"形声 Phonetic",2,Kawara,ビン,ヘイ、かめ、がめ,1,bin,3699,4,"bottle, vial, jar, flask",0,0,-,0,-,1981
1736,不,4,4,"仮借 Loan",3,Fu,フ、ブ,,2,"fu, 	bu",13,4,"negation; bad; clumsy; ugly",0,0,-,0,-,1981
1737,夫,4,4,"象形 Pictographic",2,Dai,フ、[フウ]、おっと,か,2,"fu, [fuu]",1136,2,"husband; man",1,1,otto,2,"husband, spouse",1981
1738,父,4,2,"会意 Com. Ideographic",4,Chichi,フ、ちち,,1,fu,3516,1,father,1,1,chichi,1,father,1981
1739,付,5,4,"会意 Com. Ideographic",2,"Hito, Ninben, Hitoyane",フ、つ-ける、つ-く,,1,fu,124,6,"give to, submit to, refer to; affix, attach, append ",2,1,"tsu(keru), tsu(ku)",37,"attach, join, stick, glue, fasten; sew on; furnish (a house with); wear, put on; make an entry; appraise, set (a price); apply (ointment); bring alongside; place (under guard or a doctor); follow, shadow; add, append, affix; load; give (courage to); keep (an eye on); establish (relations or understanding). be connected with; be dyed; be stained; be scarred; be recorded; be attached to; (fires) start; follow; become allied to; accompany; study with; increase, be added to",1981
1740,布,5,5,"形声 Phonetic",2,"Haba, Kinben",フ、ぬの,ホ、し,1,fu,1548,1,cloth,1,1,nuno,1,cloth,1981
1741,扶,7,7,"形声 Phonetic",1,Tehen,フ,,1,fu,2089,8,"help; save, rescue; give relief to; spare (life); reinforce; promote; abet",0,0,-,0,-,1981
1742,府,8,4,"形声 Phonetic",2,Madare,フ,,1,fu,1611,4,"urban prefecture; government office; representative body; storehouse",0,0,-,0,-,1981
1743,怖,8,7,"形声 Phonetic",2,"Kokoro, Risshinben, Shitagokoro",フ、こわ-い,,1,fu,1817,4,"fear, be frightened; be timid; get nervous ",1,1,kowa(i),4,"fearful, frightful, terrible, weird ",1981
1744,阜,8,7,"象形 Pictographic",-,Kozatohen,[フ],おか,1,[fu],6423,2,"hill; mound",0,0,-,0,-,2010
1745,附,8,7,"形声 Phonetic",1,Kozatohen,フ,つ、づ,1,fu,6433,6,"give to, submit to, refer to; affix, attach, append ",0,0,-,0,-,1981
1746,訃,9,7,"形声 Phonetic",-,"Gon, Gonben",フ,,1,fu,5554,2,"obituary, report of a death",0,0,-,0,-,2010
1747,負,9,3,"会意 Com. Ideographic",2,"Kai, Kaihen",フ、ま-ける、ま-かす、お-う,,1,fu,5769,3,"negative, minus; minus sign ",3,2,"ma(keru), ma(kasu), o(u)",17,"be defeated; get the worst of it; be overcome with; yield to; be inferior to; lower the price; be poisoned with lacquer. overcome, outrival, defeat. bear, carry on the back; owe; assume, bear (a responsibility); be accused of; sustain (an injury)",1981
1748,赴,9,7,"形声 Phonetic",1,"Hashiru, Soonyoo",フ、おもむ-く,,1,fu,5847,4,"proceed to; get, become, tend toward",1,1,omomu(ku),4,"proceed to; get, become, tend toward",1981
1749,浮,10,7,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",フ、う-く、う-かれる、う-かぶ、う-かべる,,1,fu,3159,8,"float, be floated, rise to the surface; be cheered up; be set on edge, feel loose (teeth); be left over, be saved ",4,1,"u(ku), u(kareru), u(kabu), u(kaberu)",22,"float, be floated, rise to the surface; be cheered up; be set on edge, feel loose (teeth); be left over, be saved. launch, sail (a toy ship), refloat; waft; express (feelings in the face); recall. surface; flit across (the face), occur to; play (about the lips, as a smile); rise in the world; rest in peace. be in high spirits, go on a spree ",1981
1750,婦,11,5,"形声 Phonetic",2,"Onna, Onnahen",フ,,1,fu,1243,3,"woman; wife; bride",0,0,-,0,-,1981
1751,符,11,7,"形声 Phonetic",2,"Take, Takekanmuri",フ,,1,fu,4270,5,"sign, mark, tally; charm, amulet",0,0,-,0,-,1981
1752,富,12,5,"形声 Phonetic",2,Ukanmuri,フ、[フウ]、と-む、とみ,,2,"fu, [fuu]",1349,1,enrich,2,2,"to(mu), tomi",12,"be rich, become wealthy; teem with, abound in; be fruitful; be rife; be replete. wealth, mammon, fortune; resources; lottery ",1981
1753,普,12,7,"会意 Com. Ideographic",2,"Nichi, Nichihen",フ,あまね,1,fu,2489,2,"widely, generally",0,0,-,0,-,1981
1754,腐,14,7,"形声 Phonetic",1,"Niku, Nikuzuki",フ、くさ-る、くさ-れる、くさ-らす,,1,fu,4835,7,"rot, decay; turn sour; fester; corrode; be corrupted; feel gloomy ",3,1,"kusa(ru), kusa(reru), kusa(rasu)",11,"rot, decay; turn sour; fester; corrode; be corrupted; feel gloomy. let spoil, rot, corrode, addle ",1981
1755,敷,15,7,"形声 Phonetic",1,Nobun,フ、し-く,,1,fu,2357,7,"spread; pave; sit (on a cushion); lay (a railway); gravel (a road); promulgate; draw up",1,1,shi(ku),7,"spread; pave; sit (on a cushion); lay (a railway); gravel (a road); promulgate; draw up",1981
1756,膚,15,7,"形声 Phonetic",2,"Niku, Nikuzuki",フ,はだ,1,fu,4867,5,"skin, body; grain, texture; disposition",0,0,-,0,-,1981
